-60|-20
220|-20
220|-100
-60|-100
-60|-20
1380|-1080
1440|-1080
1440|-1040
1500|-1040
1500|-1080
1660|-1080
1660|-1040
1560|-1040
1560|-900
1500|-900
1500|-1000
1440|-1000
1440|-860
1380|-860
1380|-1080
880|-220
960|-220
960|-120
1120|-120
1120|-40
880|-40
880|-220
140|-980
480|-980
480|-1020
140|-1020
140|-980
0|-610
0|-790
230|-790
230|-740
80|-740
80|-680
230|-680
230|-790
300|-790
300|-610
0|-610
1280|-450
1280|-520
1440|-520
1440|-570
1280|-570
1280|-630
1510|-630
1510|-450
1280|-450
850|-650
850|-830
1170|-830
1170|-720
1080|-720
1080|-800
1010|-800
1010|-760
940|-760
940|-800
890|-800
890|-650
850|-650
550|-530
640|-530
640|-770
550|-770
550|-530
780|-360
1020|-360
1020|-440
780|-440
780|-360
230|-230
230|-330
290|-330
290|-280
360|-280
360|-330
500|-330
500|-280
450|-280
450|-230
230|-230
