1140|-380
1140|-680
1160|-680
1160|-420
1560|-420
1560|-660
1160|-660
1160|-680
1660|-680
1660|-380
1140|-380

400|-740
480|-740
480|-920
400|-920
400|-740

1180|-920
1640|-920
1640|-960
1180|-960
1180|-920

640|-160
640|-220
780|-220
780|-270
640|-270
640|-310
840|-310
840|-160
640|-160

88|-690
164|-690
164|-720
88|-720
88|-690

1040|-640
1120|-640
1120|-780
1040|-780
1040|-640
1180|-530
1410|-530
1410|-560
1180|-560
1180|-530
-80|-380
-80|-540
30|-540
30|-480
130|-480
130|-410
220|-410
220|-320
130|-320
130|-390
80|-390
80|-460
-10|-460
-10|-490
-60|-490
-60|-380
-80|-380
300|-400
360|-400
360|-610
300|-610
300|-400
500|-610
800|-610
800|-670
500|-670
500|-610
